Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Mar 07, 2019",172.5,173.87,174.44,172.02,24.80M
"Mar 06, 2019",174.52,174.67,175.49,173.94,20.81M
"Mar 05, 2019",175.53,175.94,176.0,174.54,19.74M
"Mar 04, 2019",175.85,175.69,177.75,173.97,27.44M
"Mar 01, 2019",174.97,174.28,175.15,172.89,25.89M
"Feb 28, 2019",173.15,174.32,174.91,172.92,28.22M
"Feb 27, 2019",174.87,173.21,175.0,172.73,27.84M
"Feb 26, 2019",174.33,173.71,175.3,173.17,17.07M
"Feb 25, 2019",174.23,174.16,175.87,173.95,21.87M
"Feb 22, 2019",172.97,171.58,173.0,171.38,18.91M
"Feb 21, 2019",171.06,171.8,172.37,170.3,17.25M
"Feb 20, 2019",172.03,171.19,173.32,170.99,26.11M
"Feb 19, 2019",170.93,169.71,171.44,169.49,18.97M
"Feb 15, 2019",170.42,171.25,171.7,169.75,24.63M
"Feb 14, 2019",170.8,169.71,171.26,169.38,21.84M
"Feb 13, 2019",170.18,171.39,172.48,169.92,22.49M
"Feb 12, 2019",170.89,170.1,171.0,169.7,22.28M
"Feb 11, 2019",169.43,171.05,171.21,169.25,20.99M
"Feb 08, 2019",170.41,168.99,170.66,168.42,23.82M
"Feb 07, 2019",170.94,172.4,173.94,170.34,31.74M
"Feb 06, 2019",174.24,174.65,175.57,172.85,28.24M
"Feb 05, 2019",174.18,172.86,175.08,172.35,36.10M
"Feb 04, 2019",171.25,167.41,171.66,167.28,31.50M
"Feb 01, 2019",166.52,166.96,168.98,165.93,32.67M
"Jan 31, 2019",166.44,166.11,169.0,164.56,40.74M
"Jan 30, 2019",165.25,163.25,166.15,160.23,61.11M
"Jan 29, 2019",154.68,156.25,158.13,154.11,41.59M
"Jan 28, 2019",156.3,155.79,156.33,153.66,26.19M
"Jan 25, 2019",157.76,155.48,158.13,154.32,33.55M
"Jan 24, 2019",152.7,154.11,154.48,151.74,25.44M
"Jan 23, 2019",153.92,154.15,155.14,151.7,23.13M
"Jan 22, 2019",153.3,156.41,156.73,152.62,30.39M
"Jan 18, 2019",156.82,157.5,157.88,155.98,33.75M
"Jan 17, 2019",155.86,154.2,157.66,153.26,29.82M
"Jan 16, 2019",154.94,153.08,155.88,153.0,30.57M
"Jan 15, 2019",153.07,150.27,153.39,150.05,28.71M
"Jan 14, 2019",150.0,150.85,151.27,149.22,32.44M
"Jan 11, 2019",152.29,152.88,153.7,151.51,27.02M
"Jan 10, 2019",153.8,152.5,153.97,150.86,35.78M
"Jan 09, 2019",153.31,151.29,154.53,149.63,45.10M
"Jan 08, 2019",150.75,149.56,151.82,148.52,41.03M
"Jan 07, 2019",147.93,148.7,148.83,145.9,54.78M
"Jan 04, 2019",148.26,144.53,148.55,143.8,58.61M
"Jan 03, 2019",142.19,143.98,145.72,142.0,91.31M
"Jan 02, 2019",157.92,154.89,158.85,154.23,37.04M
"Dec 31, 2018",157.74,158.53,159.36,156.48,35.00M
"Dec 28, 2018",156.23,157.5,158.52,154.55,42.29M
"Dec 27, 2018",156.15,155.84,156.77,150.07,53.12M
"Dec 26, 2018",157.17,148.3,157.23,146.72,58.58M
"Dec 24, 2018",146.83,148.15,151.55,146.59,37.17M
"Dec 21, 2018",150.73,156.86,158.16,149.63,95.74M
"Dec 20, 2018",156.83,160.4,162.11,155.3,64.77M
"Dec 19, 2018",160.89,166.0,167.45,159.09,49.05M
"Dec 18, 2018",166.07,165.38,167.53,164.39,33.84M
"Dec 17, 2018",163.94,165.45,168.35,162.73,44.29M
"Dec 14, 2018",165.48,169.0,169.08,165.28,40.70M
"Dec 13, 2018",170.95,170.49,172.57,169.55,31.90M
"Dec 12, 2018",169.1,170.4,171.92,169.02,35.63M
"Dec 11, 2018",168.63,171.66,171.79,167.0,47.28M
"Dec 10, 2018",169.6,165.0,170.09,163.33,62.03M
"Dec 07, 2018",168.49,173.49,174.49,168.3,42.28M
"Dec 06, 2018",174.72,171.76,174.78,170.42,43.10M
"Dec 04, 2018",176.69,180.95,182.39,176.27,41.34M
"Dec 03, 2018",184.82,184.46,184.94,181.21,40.80M
"Nov 30, 2018",178.58,180.29,180.33,177.03,39.53M
"Nov 29, 2018",179.55,182.66,182.8,177.7,41.77M
"Nov 28, 2018",180.94,176.73,181.29,174.93,46.06M
"Nov 27, 2018",174.24,171.51,174.77,170.88,41.39M
